Twisted Pixel Games,8.1,7.7
Transmission Games,8.1,6.2
Blue Fang Games,8.1,7.2
Team Fusion,8.1,7.5
SquareSoft,8.086666666666666,8.379999999999999
Wow Entertainment,8.08,7.18
2K Games,8.066666666666668,7.4
Pocketeers,8.066666666666666,7.033333333333333
Black Ship Games,8.066666666666666,6.633333333333333
Bungie Software,8.066666666666665,9.366666666666667
Tri-Ace,8.063636363636364,7.5181818181818185
Nerve Software,8.05,7.65
Hypnotix,8.05,7.15
Pendulo Studios,8.05,7.7
Pitbull Syndicate,8.05,7.2
United Front Games,8.05,8.15
Omega Force/ Koei Tecmo Games,8.05,7
Zono Inc.,8.05,6.5
Monolith Productions,8.049999999999999,8
Io Interactive,8.045000000000002,7.925
Pandemic Studios,8.0375,7.29375
NetherRealm Studios,8.033333333333333,8.266666666666667
Barnhouse Effect,8.033333333333333,6.166666666666666
Yacht Club Games,8.033333333333333,8.933333333333334
DONTNOD Entertainment,8.033333333333333,7.666666666666667
Sand Grain Studios,8.025,5.75
Nintendo,8.019117647058822,8.047058823529412
Starbreeze,8.00909090909091,7.909090909090909
Eighting,8.000000000000002,6.34
Amusement Vision,8,7.857142857142857
Sega/ Tom Create,8,5.9
Mindware Studios,8,6
Ryu ga Gotoku Studios,8,7.6
New,8,7.5
Imagineer,8,5.1
Fox Interactive,8,6.25
2015,8,7.3
Mekensleep,8,7.8
Runic Games,8,8.3
Human Soft,8,5.8
Sonic Powered,8,5.9
Office Create,8,7
Raster,8,6.6
ArtePiazza,8,7.4799999999999995
WorkJam,8,6.1
Ubisoft Paris/ Ubisoft Montpellier,8,6.45
THQ/ Yuke's,8,7.8
DreamRift,8,7.9
UBlart Montpellier,8,8.516666666666667
T&E Soft,8,6.9
Pinegrow,8,7.5
Doki Denki,8,7
Realtime Worlds,8,8.3
BottleRocket Entertainment,8,6.8
Climax Studios,8,7
Prograph,8,3.5
Vicious Cycle/ Infinite Interactive,8,8.4
Big Huge Games,7.983333333333333,8.266666666666667
Sandlot,7.971428571428571,6.985714285714286
KING Art,7.966666666666666,7.2
